,ADF,LDF,ADF_U,LDF_U,ADF_R,LDF_R,Significant # Times
HEATFUEL,1.0,1,1.0,1.0,1,1.0,6.0
SOLAR      ,1.0,1,1.0,1.0,1,1.0,6.0
ACPRIMARY,1.0,1,1.0,1.0,1,1.0,6.0
HEATTYPE,1.0,1,1.0,1.0,1,1.0,6.0
COOKFUEL,1.0,1,1.0,1.0,1,1.0,6.0
DIVISION,0.0,1,1.0,1.0,1,1.0,5.0
HOTWATER,0.0,1,1.0,1.0,1,1.0,5.0
BLD,0.0,1,1.0,1.0,1,1.0,5.0
HHRACE,0.0,1,0.0,1.0,1,1.0,4.0
TENURE,0.0,0,0.0,1.0,1,1.0,3.0
YRBUILT    ,0.0,0,0.0,1.0,1,1.0,3.0
FIREPLACE  ,0.0,0,0.0,1.0,1,0.0,2.0
NUMOLDKIDS ,0.0,1,0.0,0.0,0,0.0,1.0
UNITSIZE   ,0.0,0,0.0,0.0,0,1.0,1.0
URBAN      ,0.0,0,0.0,0.0,0,1.0,1.0
NUMYNGKIDS ,0.0,0,0.0,0.0,1,0.0,1.0
NUMELDERS  ,0.0,0,0.0,0.0,1,0.0,1.0
