Feature,Shapley Value
NUMELDERS,0.017390847296468274
UNITSIZE,0.008796425724831443
HHRACE_2.0,0.007199698037561337
YRBUILT,0.005279061440502814
FIREPLACE,0.003994997261176861
DIVISION_7,0.0037853648757950006
NUMOLDKIDS,0.0034158392375531585
DIVISION_9,0.0032735900888737003
TENURE_1.0,0.0031020087802926177
DIVISION_5,0.00274799728007093
BLD_2,0.0025601415577881344
BLD_1,0.002350315027610965
DIVISION_3,0.0023426494579206285
DIVISION_8,0.0023222837022261926
HEATFUEL_2,0.0016934405787107744
BLD_7,0.001505162837086417
NUMYNGKIDS,0.0014758521833334601
HEATTYPE_3,0.0013860653598055347
BLD_5,0.0013514143537878428
HEATTYPE_8,0.001296315823428764
BLD_3,0.0012939262083640382
HOTWATER_1,0.0012755929561765857
DIVISION_6,0.0012724370926370143
BLD_6,0.0012665055309378104
HOTWATER_2,0.0011898881803341498
ACPRIMARY_1,0.0011888150007781715
COOKFUEL_2,0.0011674157214620993
ACPRIMARY_4,0.0011459546090187057
HEATTYPE_2,0.001138099217569895
COOKFUEL_1,0.001019196229425232
HEATTYPE_1,0.0010014724487669327
HEATTYPE_5,0.0009423548781991939
DIVISION_2,0.0009330319255268157
BLD_4,0.0008992097477985545
TENURE_2.0,0.0008973935483370631
HEATFUEL_1,0.0008972399974798289
ACPRIMARY_0,0.0008629848742819052
BLD_9,0.0008370114924045287
HEATTYPE_4,0.000788224211093635
ACPRIMARY_5,0.0007828717996356522
DIVISION_1,0.000778003501804677
ACPRIMARY_2,0.000672155612177862
SOLAR,0.000669293120424769
TENURE_0.0,0.0006500413187351994
HHRACE_4.0,0.0006445622882197776
HHRACE_1.0,0.0005826447311165249
HEATFUEL_3,0.000573224667385349
DIVISION_4,0.0005218988866275095
ACPRIMARY_6,0.000512651551744207
BLD_8,0.0005006326656969894
HOTWATER_3,0.00048010032184244605
ACPRIMARY_7,0.000456921881115847
COOKFUEL_3,0.0003893549867827553
HHRACE_3.0,0.0003377629614079813
HEATFUEL_4,0.0003136702802686303
HHRACE_6.0,0.00023629691618830322
HHRACE_5.0,0.00022683221319616572
HOTWATER_4,0.00018196414585959343
HEATTYPE_9,0.00015623631010682135
HEATTYPE_7,0.00010018986757600835
COOKFUEL_0,9.999742033764337e-05
HEATTYPE_6,7.227575797210665e-05
HEATFUEL_7,6.889771862441059e-05
HEATTYPE_12,6.261368470743027e-05
ACPRIMARY_3,5.09640126118968e-05
HEATTYPE_0,4.291875570698692e-05
HEATFUEL_0,3.0295766746331954e-05
HEATTYPE_11,2.992350115978414e-05
HEATFUEL_5,2.2959914703001407e-05
HEATFUEL_6,1.0068930930037754e-05
HOTWATER_5,9.371052113002562e-06
HEATTYPE_10,8.905079524718052e-06
HOTWATER_0,5.755311408264403e-06
HOTWATER_6,3.203657594068929e-06
HEATTYPE_13,3.1828419351976136e-06
HEATFUEL_9,2.007405012362351e-06
COOKFUEL_4,1.079388209042326e-06
HEATFUEL_8,5.269457809436109e-07
